"filename", "language", "TypeScript", "JSON", "YAML", "Markdown", "Vue", "Less", "JSON with Comments", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/index.zh-CN.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/velen/Desktop/work/sc/sc-ui/src/style/color/bezierEasing.less", "Less", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 10, 16, 111
"/Users/velen/Desktop/work/sc/sc-ui/src/style/color/colorPalette.less", "Less", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8, 4, 82
"/Users/velen/Desktop/work/sc/sc-ui/src/style/color/colors.less", "Less", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 2, 15, 163
"/Users/velen/Desktop/work/sc/sc-ui/src/style/color/tinyColor.less", "Less", 0, 0, 0, 0, 0, 905, 0, 0, 0, 0, 148, 132, 1185
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/alert.less", "Less", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 55
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/button.less", "Less", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/index.less", "Less", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/menu.less", "Less", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 82
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/modal.less", "Less", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 8, 0, 142
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/pagination.less", "Less", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/radio.less", "Less", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/select.less", "Less", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 0, 36
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/step.less", "Less", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 16, 21, 312
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/steps.less", "Less", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/table.less", "Less", 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 3, 7, 233
"/Users/velen/Desktop/work/sc/sc-ui/src/style/component/tabs.less", "Less", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 49
"/Users/velen/Desktop/work/sc/sc-ui/src/style/index.less", "Less", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/velen/Desktop/work/sc/sc-ui/src/style/other/index.less", "Less", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 2, 92
"/Users/velen/Desktop/work/sc/sc-ui/src/style/var/common.less", "Less", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"/Users/velen/Desktop/work/sc/sc-ui/src/style/var/index.less", "Less", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 13, 34, 114
"/Users/velen/Desktop/work/sc/sc-ui/src/style/var/mixins.less", "Less", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/velen/Desktop/work/sc/sc-ui/src/types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/velen/Desktop/work/sc/sc-ui/src/types/draggable.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 2, 83
"/Users/velen/Desktop/work/sc/sc-ui/src/types/global.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/index.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/is.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 101
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/nodeType.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 53
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/propTypes.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/treeHelper.ts", "TypeScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 205
"/Users/velen/Desktop/work/sc/sc-ui/src/utils/uuid.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/velen/Desktop/work/sc/sc-ui/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 37, 1, 80
"/Users/velen/Desktop/work/sc/sc-ui/types/global.d.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/velen/Desktop/work/sc/sc-ui/types/shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6
"/Users/velen/Desktop/work/sc/sc-ui/types/vue-test-utils.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"/Users/velen/Desktop/work/sc/sc-ui/vite.config.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 74
"Total", "-", 2200, 264, 7458, 366, 2671, 2379, 42, 205, 1607, 19, 692, 2515, 20418
