Date : 2022-12-05 17:44:02
Directory : /Users/velen/Desktop/work/sc/frontend/sc-ui
Total : 221 files,  28908 codes, 991 comments, 4545 blanks, all 34444 lines

Languages
+------------------------+------------+------------+------------+------------+------------+
| language               | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/component/type.ts                 | TypeScript             |         20 |          9 |          3 |         32 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/demo/basic.vue                    | Vue                    |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.en-US.md                    | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.ts                          | TypeScript             |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.zh-CN.md                    | Markdown               |         14 |          0 |          6 |         20 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/Loading.vue            | Vue                    |         78 |          0 |          3 |         81 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/createLoading.ts       | TypeScript             |         56 |          0 |          9 |         65 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/typing.ts              | TypeScript             |         11 |          0 |          2 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/useLoading.ts          | TypeScript             |         39 |          0 |         11 |         50 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/index.ts                         | TypeScript             |          6 |          7 |          5 |         18 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/components/ScModal.vue             | Vue                    |        190 |          0 |         17 |        207 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/components/type.ts                 | TypeScript             |         76 |          2 |          1 |         79 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/basic.vue                     | Vue                    |         32 |          0 |          7 |         39 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/draggable.vue                 | Vue                    |         38 |          0 |          9 |         47 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/notClose.vue                  | Vue                    |         33 |          0 |          7 |         40 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/selfFooter.vue                | Vue                    |         49 |          0 |          7 |         56 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/selftHeader.vue               | Vue                    |         34 |          0 |          7 |         41 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/tooltip.vue                   | Vue                    |         34 |          0 |          7 |         41 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/demo/type.vue                      | Vue                    |         49 |          0 |          7 |         56 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.en-US.md                     | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.ts                           | TypeScript             |          7 |          0 |          2 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.zh-CN.md                     | Markdown               |         91 |          0 |         21 |        112 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.en-US.md                  | Markdown               |          6 |          0 |          3 |          9 |
