"filename", "language", "TypeScript", "Vue", "Markdown", "Less", "JSON with Comments", "JSON", "JavaScript", "ReactNativeToolsOutput", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/component/ScDrawer.vue", "Vue", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/component/type.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 32
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/demo/basic.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/index.zh-CN.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/Loading.vue", "Vue", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/createLoading.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/typing.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/loading/component/useLoading.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
